18.69	6.75	3.14	13.30	4.10	18.17	15.90	2.40	2.68	2.27	2.45	4.78	3.49	10.29	3.58	8.44	
1.00	2.77	5.96	1.41	4.56	1.03	1.18	7.80	6.98	8.25	7.63	3.91	5.36	1.82	5.22	2.21	

18.35	6.66	3.10	13.23	4.06	18.08	15.79	2.36	2.64	2.23	2.41	4.71	3.42	10.12	3.52	8.32	
1.00	2.75	5.92	1.39	4.52	1.02	1.16	7.77	6.95	8.23	7.60	3.90	5.37	1.81	5.21	2.20	

0.34	0.09	0.04	0.07	0.04	0.09	0.11	0.04	0.04	0.04	0.04	0.08	0.06	0.18	0.06	0.12	
1.00	3.70	9.14	4.99	8.41	3.71	3.15	9.40	9.19	9.39	9.20	4.42	5.22	1.91	5.95	2.78	

223595880	22465083	16984672	133028297	13469762	301108674	202070400	16985679	16985679	10559988	16908627	17105600	10678134	127147900	8996119	80438808	
0.00	0.90	0.92	0.41	0.94	-0.35	0.10	0.92	0.92	0.95	0.92	0.92	0.95	0.43	0.96	0.64	

0	147098626	126888544	19550265	126894658	0	2031600	61698580	61698580	55274244	65407575	126894500	58530227	0	48800819	205789662	

8126400	4063200	2031600	4063200	2031600	214701495	4052304	2031600	2031600	2031600	2031600	2031600	2031600	2472804	1678544	1270263	

0	114597820	4063200	135229197	99255700	0	2202100	13582450	13582450	13582990	13608520	99255700	13592780	0	12386673	16497685	

0.00	147.29	2.58	49.73	131.79	1.85	1.29	15.54	15.54	19.42	15.54	133.16	20.79	1.85	23.54	23.54	

8.69	1.15	0.84	5.33	0.69	3.42	7.67	0.82	0.83	0.54	0.83	0.82	0.51	4.39	0.61	2.92	evaluation time: 158.015624826
euro
