dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
euro,100,2,10000,2.125,1.083,0.01214665,0.02409657,14,10,7,6,9,8,13,12,0,2,3,11,4,15,1,5
euro,1000,2,10000,2.125,1.083,0.01214665,0.02409657,6,7,14,10,9,8,13,0,2,12,4,1,11,15,5,3
euro,10,2,100000,2.090909,0.5973,0.00386282,0.01619219,13,14,15,0,10,2,11,3,7,1,4,8,9,12,6,5
euro,100,2,100000,2.090909,0.5973,0.00386282,0.01619219,14,13,7,10,12,8,15,6,9,2,0,4,11,1,3,5
euro,1000,2,100000,2.090909,0.5973,0.00386282,0.01619219,14,7,10,9,6,8,12,13,0,2,4,15,11,1,5,3
KeggDirected,10,2,1000,2.2,1.23,0.0169,0.041,9,10,8,14,7,4,2,11,13,12,3,15,5,0,6,1
KeggDirected,100,2,1000,2.2,1.23,0.0169,0.041,6,3,13,8,14,9,7,10,0,12,5,2,4,1,11,15
KeggDirected,1000,2,1000,2.2,1.23,0.0169,0.041,14,10,6,7,15,8,9,5,13,0,12,4,3,11,2,1
KeggDirected,10,2,5000,2.142857,1.044,0.0078,0.0235,14,15,2,7,6,1,10,9,4,8,11,13,3,12,5,0
KeggDirected,100,2,5000,2.142857,1.044,0.0078,0.0235,14,13,6,9,7,8,10,2,12,15,4,3,11,1,5,0
KeggDirected,1000,2,5000,2.142857,1.044,0.0078,0.0235,6,14,10,7,8,15,9,13,2,4,5,1,12,0,11,3
KeggDirected,10,2,10000,2,0.9,0.0053,0.0131,13,14,15,2,1,11,3,7,10,4,8,12,9,0,6,5
KeggDirected,100,2,10000,2,0.9,0.0053,0.0131,14,7,15,13,9,8,10,6,12,2,3,11,1,4,0,5
KeggDirected,1000,2,10000,2,0.9,0.0053,0.0131,14,6,7,10,8,9,15,13,2,4,12,1,0,11,5,3
KeggDirected,10,2,50000,1.7,0.5694,0.0029,0.0068,13,15,14,2,7,11,10,3,9,4,8,1,6,12,0,5
KeggDirected,100,2,50000,1.7,0.5694,0.0029,0.0068,14,13,15,10,7,9,8,12,2,6,3,4,11,1,0,5
KeggDirected,1000,2,50000,1.7,0.5694,0.0029,0.0068,14,10,7,9,8,6,15,12,2,13,4,11,1,0,5,3
KeggDirected,10,10,1000,2.2,1.14,0.0229,0.0542,2,1,4,7,8,3,6,0,14,9,11,12,13,10,5,15
KeggDirected,100,10,1000,2.2,1.14,0.0229,0.0542,14,6,15,7,13,9,8,2,3,11,12,4,0,1,10,5
KeggDirected,1000,10,1000,2.2,1.14,0.0229,0.0542,6,14,10,7,15,9,8,13,2,4,0,5,1,3,12,11
KeggDirected,10,10,5000,2.2857144,1.008,0.009,0.0228,1,7,2,4,10,9,0,14,8,13,11,3,12,15,6,5
KeggDirected,100,10,5000,2.2857144,1.008,0.009,0.0228,14,7,9,8,10,12,2,15,6,13,3,4,11,1,0,5
KeggDirected,1000,10,5000,2.2857144,1.008,0.009,0.0228,14,6,7,9,8,10,2,13,15,4,1,0,12,11,5,3
KeggDirected,10,10,10000,2.625,0.963,0.0067,0.0142,14,13,15,2,10,1,11,8,4,7,9,0,12,3,6,5
KeggDirected,100,10,10000,2.625,0.963,0.0067,0.0142,14,7,9,8,10,2,12,6,3,4,11,1,13,0,15,5
KeggDirected,1000,10,10000,2.625,0.963,0.0067,0.0142,14,7,9,10,8,6,13,2,12,4,1,15,0,11,3,5
KeggDirected,10,10,50000,2.5,0.5562,0.0032,0.0074,14,13,15,2,1,7,10,11,8,4,9,0,12,3,6,5
KeggDirected,100,10,50000,2.5,0.5562,0.0032,0.0074,14,7,10,8,9,12,2,6,4,13,1,11,0,3,15,5
KeggDirected,1000,10,50000,2.5,0.5562,0.0032,0.0074,7,14,10,9,8,2,12,6,4,13,1,11,0,15,3,5
KeggDirected,10,20,1000,2.8,1.08,0.0243,0.0557,14,2,7,4,9,1,8,10,11,3,12,6,0,13,15,5
KeggDirected,100,20,1000,2.8,1.08,0.0243,0.0557,14,7,9,8,6,2,3,4,13,1,15,10,11,0,12,5
KeggDirected,1000,20,1000,2.8,1.08,0.0243,0.0557,6,14,7,10,8,9,15,2,4,13,1,0,5,3,12,11
KeggDirected,10,20,5000,2.7142856,1.116,0.0088,0.022,14,2,10,1,9,8,4,7,11,12,15,13,0,3,6,5
KeggDirected,100,20,5000,2.7142856,1.116,0.0088,0.022,14,7,9,8,10,12,2,3,6,15,4,13,11,1,0,5
KeggDirected,1000,20,5000,2.7142856,1.116,0.0088,0.022,14,7,9,8,6,10,2,15,1,4,13,0,11,12,3,5
KeggDirected,10,20,10000,2.25,0.897,0.0077,0.0179,14,7,4,13,8,15,2,9,1,11,12,3,10,0,6,5
KeggDirected,100,20,10000,2.25,0.897,0.0077,0.0179,14,7,9,8,10,2,12,3,15,4,6,1,11,13,0,5
KeggDirected,1000,20,10000,2.25,0.897,0.0077,0.0179,14,7,8,9,10,15,2,13,6,12,4,1,11,0,3,5
KeggDirected,10,20,50000,2.6,0.3444,0.002,0.0151,14,2,7,1,10,9,11,8,4,13,15,0,3,12,6,5
KeggDirected,100,20,50000,2.6,0.3444,0.002,0.0151,14,7,10,9,12,8,15,2,4,13,11,6,1,0,3,5
KeggDirected,1000,20,50000,2.6,0.3444,0.002,0.0151,7,10,9,14,8,2,12,4,1,6,11,13,0,15,3,5
KeggUndirect,10,2,1000,2,1.29,0.0206,0.0504,14,10,11,8,7,9,2,12,13,3,4,0,6,5,15,1
KeggUndirect,100,2,1000,2,1.29,0.0206,0.0504,6,13,3,14,15,10,7,8,9,5,0,2,12,4,11,1
KeggUndirect,1000,2,1000,2,1.29,0.0206,0.0504,6,13,5,0,12,14,15,7,10,8,11,9,2,4,3,1
KeggUndirect,10,2,5000,1.8571428,0.54,0.0121,0.0348,13,15,14,3,2,6,1,8,5,7,4,9,10,0,12,11
KeggUndirect,100,2,5000,1.8571428,0.54,0.0121,0.0348,14,13,15,7,6,8,10,9,12,3,2,11,4,1,5,0
KeggUndirect,1000,2,5000,1.8571428,0.54,0.0121,0.0348,15,14,13,7,10,8,9,6,5,2,4,12,11,0,3,1
KeggUndirect,10,2,10000,1.75,0.339,0.0091,0.0325,14,13,15,3,0,2,11,12,1,7,4,10,6,8,9,5
KeggUndirect,100,2,10000,1.75,0.339,0.0091,0.0325,14,13,15,6,7,8,10,9,2,12,11,0,4,3,1,5
KeggUndirect,1000,2,10000,1.75,0.339,0.0091,0.0325,13,6,15,14,0,7,10,8,9,5,12,2,1,4,11,3
KeggUndirect,10,2,50000,1.6,0.1128,0.007,0.0396,13,14,15,6,11,7,10,2,3,8,4,1,9,12,5,0
KeggUndirect,100,2,50000,1.6,0.1128,0.007,0.0396,14,13,15,7,6,10,8,2,12,9,11,4,3,5,1,0
KeggUndirect,1000,2,50000,1.6,0.1128,0.007,0.0396,15,14,13,6,10,7,8,9,5,12,2,11,4,0,1,3
KeggUndirect,10,10,1000,2.8,0.9,0.0016,0.0043,14,13,2,15,7,8,4,10,1,12,11,9,0,3,6,5
KeggUndirect,100,10,1000,2.8,0.9,0.0016,0.0043,14,7,8,6,9,3,2,13,4,1,15,0,10,5,11,12
KeggUndirect,1000,10,1000,2.8,0.9,0.0016,0.0043,6,14,10,7,15,8,9,13,2,4,5,0,1,3,12,11
KeggUndirect,10,10,5000,2.4285715,0.9,0.0011,0.0078,13,14,15,2,1,8,10,11,4,7,3,0,9,12,6,5
KeggUndirect,100,10,5000,2.4285715,0.9,0.0011,0.0078,14,7,8,9,6,10,15,12,13,2,3,11,0,1,4,5
KeggUndirect,1000,10,5000,2.4285715,0.9,0.0011,0.0078,14,6,7,8,9,10,15,13,2,4,0,1,12,11,5,3
KeggUndirect,10,10,10000,2.5,0.915,0.0006,0.0054,13,15,14,2,11,1,8,10,7,9,3,0,4,12,6,5
KeggUndirect,100,10,10000,2.5,0.915,0.0006,0.0054,14,7,8,10,15,9,13,6,12,2,3,4,0,11,1,5
KeggUndirect,1000,10,10000,2.5,0.915,0.0006,0.0054,14,7,10,8,13,9,6,15,2,12,1,0,4,11,3,5
KeggUndirect,10,10,50000,2.4,0.5766,0.0002,0.0024,13,15,14,7,11,10,8,12,2,9,1,0,4,3,6,5
KeggUndirect,100,10,50000,2.4,0.5766,0.0002,0.0024,14,7,10,8,9,15,13,12,2,6,3,11,4,1,0,5
KeggUndirect,1000,10,50000,2.4,0.5766,0.0002,0.0024,7,10,8,9,14,6,2,12,4,1,11,0,13,15,3,5
KeggUndirect,10,20,1000,2.4,0.87,0.0022,0.0044,14,2,1,4,11,9,13,8,15,10,12,7,0,3,6,5
KeggUndirect,100,20,1000,2.4,0.87,0.0022,0.0044,14,7,9,8,6,2,15,3,13,4,1,10,0,11,12,5
KeggUndirect,1000,20,1000,2.4,0.87,0.0022,0.0044,6,10,7,8,9,14,13,2,15,4,1,0,5,3,12,11
KeggUndirect,10,20,5000,2.4285715,0.888,0.0015,0.0078,14,13,11,10,9,15,7,8,2,12,1,4,3,0,6,5
KeggUndirect,100,20,5000,2.4285715,0.888,0.0015,0.0078,14,7,9,8,10,12,15,6,3,2,13,4,11,1,0,5
KeggUndirect,1000,20,5000,2.4285715,0.888,0.0015,0.0078,14,7,6,9,8,10,2,4,13,1,15,0,12,3,11,5
KeggUndirect,10,20,10000,2.75,0.852,0.0009,0.0056,14,13,15,1,2,11,7,9,8,10,4,12,0,3,6,5
KeggUndirect,100,20,10000,2.75,0.852,0.0009,0.0056,14,7,9,8,12,10,15,13,2,3,6,4,11,1,0,5
KeggUndirect,1000,20,10000,2.75,0.852,0.0009,0.0056,14,7,9,8,10,2,6,4,13,12,1,15,0,11,3,5
KeggUndirect,10,20,50000,2.5,0.5904,0.0006,0.0025,13,15,14,2,7,11,9,10,8,4,1,12,3,0,6,5
KeggUndirect,100,20,50000,2.5,0.5904,0.0006,0.0025,14,7,10,9,8,12,2,3,6,13,15,4,11,0,1,5
KeggUndirect,1000,20,50000,2.5,0.5904,0.0006,0.0025,7,14,10,8,9,12,2,6,4,11,13,1,0,15,3,5
mnist,10,30,50000,1.6,0.003,0.1993,0.1993,15,14,13,1,2,10,9,4,11,12,7,8,6,3,5,0
mnist,100,30,50000,1.6,0.003,0.1993,0.1993,15,14,13,10,9,7,8,2,12,4,11,1,6,0,3,5
mnist,1000,30,50000,1.6,0.003,0.1993,0.1993,15,14,7,9,10,13,2,8,4,1,12,11,6,0,5,3
mnist,10,40,1000,2,0.003,0,0,15,14,13,2,7,4,10,1,8,9,11,12,6,3,0,5
mnist,100,40,1000,2,0.003,0,0,13,14,15,9,7,8,10,2,4,1,12,11,6,0,3,5
mnist,1000,40,1000,2,0.003,0,0,15,14,8,7,6,10,9,13,4,1,2,0,5,12,3,11
mnist,10,40,5000,1.8571428,0.003,0.109,0.1145,15,14,13,6,5,2,7,9,4,11,10,1,8,12,0,3
mnist,100,40,5000,1.8571428,0.003,0.109,0.1145,14,13,15,7,8,2,10,9,4,11,12,1,6,0,5,3
mnist,1000,40,5000,1.8571428,0.003,0.109,0.1145,15,14,8,7,9,10,13,2,4,1,6,12,0,11,5,3
mnist,10,40,10000,1.75,0.003,0.145,0.1201,13,15,14,5,4,6,3,11,9,10,12,2,1,7,8,0
mnist,100,40,10000,1.75,0.003,0.145,0.1201,14,13,15,7,8,10,4,2,9,11,12,1,6,0,3,5
mnist,1000,40,10000,1.75,0.003,0.145,0.1201,14,15,9,10,8,7,13,4,2,1,12,11,6,0,5,3
mnist,10,40,50000,1.6,0.003,0.1685,0.2533,14,13,15,4,11,7,2,1,10,9,8,12,3,0,6,5
mnist,100,40,50000,1.6,0.003,0.1685,0.2533,15,14,13,9,10,7,8,12,4,6,11,2,3,0,5,1
mnist,1000,40,50000,1.6,0.003,0.1685,0.2533,14,15,13,10,9,2,7,8,4,12,1,11,6,0,5,3
mnist,10,50,1000,2,0.003,0.244,0.2654,15,14,13,6,2,4,9,7,8,11,1,10,5,3,12,0
mnist,100,50,1000,2,0.003,0.244,0.2654,15,14,13,10,7,9,2,8,4,1,12,11,6,0,3,5
mnist,1000,50,1000,2,0.003,0.244,0.2654,15,6,7,14,8,10,4,9,13,2,1,0,5,3,12,11
mnist,10,50,5000,1.8571428,0.003,0.2462,0.27,14,13,15,4,3,2,1,7,9,12,10,11,6,8,0,5
mnist,100,50,5000,1.8571428,0.003,0.2462,0.27,14,15,13,10,7,4,8,9,2,12,11,1,6,0,3,5
mnist,1000,50,5000,1.8571428,0.003,0.2462,0.27,15,14,7,9,8,13,10,2,4,1,6,0,12,11,5,3
mnist,10,50,10000,1.75,0.003,0.4099,0.3301,14,15,13,6,4,2,3,12,9,1,11,7,10,8,0,5
mnist,100,50,10000,1.75,0.003,0.4099,0.3301,13,14,15,4,7,10,9,12,2,8,11,1,6,5,0,3
mnist,1000,50,10000,1.75,0.003,0.4099,0.3301,15,14,13,7,10,9,8,4,2,1,12,11,6,0,5,3
mnist,10,50,50000,1.6,0.003,0.3973,0.2011,13,14,15,11,12,2,9,4,1,7,10,8,6,3,0,5
mnist,100,50,50000,1.6,0.003,0.3973,0.2011,14,13,15,9,12,4,8,2,10,7,11,3,6,0,1,5
mnist,1000,50,50000,1.6,0.003,0.3973,0.2011,15,14,13,8,7,10,4,9,2,12,11,6,1,0,5,3
NYC,10,2,1000,1.8,1.44,0.015218213,0.060756318,7,8,9,13,10,14,11,12,4,2,3,15,0,5,1,6
NYC,100,2,1000,1.8,1.44,0.015218213,0.060756318,6,3,13,14,12,8,7,9,10,2,4,15,0,5,1,11
NYC,1000,2,1000,1.8,1.44,0.015218213,0.060756318,10,14,15,7,6,8,9,5,13,0,12,3,2,11,4,1
NYC,10,2,5000,1.7142857,1.38,0.002832634,0.012459798,13,15,14,3,11,2,10,7,6,8,1,12,9,4,5,0
NYC,100,2,5000,1.7142857,1.38,0.002832634,0.012459798,2,7,6,8,9,13,10,14,12,4,1,3,11,15,5,0
NYC,1000,2,5000,1.7142857,1.38,0.002832634,0.012459798,6,14,7,9,10,8,13,15,2,4,12,1,0,5,3,11
NYC,10,2,10000,1.625,1.536,0.001595923,0.009982797,13,15,14,11,9,10,8,2,12,4,7,3,1,6,0,5
NYC,100,2,10000,1.625,1.536,0.001595923,0.009982797,14,7,9,10,8,13,6,2,15,12,4,11,1,3,0,5
NYC,1000,2,10000,1.625,1.536,0.001595923,0.009982797,14,6,7,9,8,10,13,2,15,12,0,4,1,11,5,3
NYC,10,2,50000,1.8,1.5216,4.26E-04,0.008424361,13,15,14,10,2,7,8,3,9,4,1,11,12,0,6,5
NYC,100,2,50000,1.8,1.5216,4.26E-04,0.008424361,14,13,15,7,10,9,8,2,12,6,11,4,1,0,3,5
NYC,1000,2,50000,1.8,1.5216,4.26E-04,0.008424361,14,7,10,9,8,6,13,2,12,15,0,4,11,1,5,3
NYC,10,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,13,15,14,2,7,11,10,9,8,3,4,1,0,12,6,5
NYC,100,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,14,13,15,7,10,8,9,12,2,6,4,11,1,3,0,5
NYC,1000,2,100000,1.8181819,1.4694,2.32E-04,0.002196512,14,7,10,9,8,6,13,12,2,15,0,4,1,11,3,5
NYC,10,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,13,15,14,2,7,4,1,10,9,11,8,12,0,3,6,5
NYC,100,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,13,14,15,10,7,9,8,12,2,4,6,11,1,0,3,5
NYC,1000,2,500000,1.7142857,1.0909,1.04E-04,0.001399722,14,7,13,10,9,8,15,6,12,2,0,4,1,11,3,5
NYC,10,2,1000,1.8,1.44,0.015219676,0.06075605,13,14,10,9,11,15,8,7,12,4,2,3,0,5,6,1
NYC,100,2,1000,1.8,1.44,0.015219676,0.06075605,6,7,8,14,3,9,13,2,4,10,12,1,11,0,5,15
NYC,1000,2,1000,1.8,1.44,0.015219676,0.06075605,6,5,13,12,3,7,10,8,0,15,9,11,2,4,14,1
NYC,10,2,5000,1.7142857,1.368,0.002836648,0.012514835,13,15,14,6,3,8,7,10,9,11,1,5,2,12,0,4
NYC,100,2,5000,1.7142857,1.368,0.002836648,0.012514835,14,7,8,9,6,10,12,15,3,11,2,4,13,1,5,0
NYC,1000,2,5000,1.7142857,1.368,0.002836648,0.012514835,6,14,7,9,8,10,13,15,2,4,0,1,12,11,5,3
NYC,10,2,10000,1.625,1.569,0.001550285,0.009879594,13,15,14,11,2,7,10,12,9,8,4,3,1,0,6,5
NYC,100,2,10000,1.625,1.569,0.001550285,0.009879594,14,7,10,9,8,13,2,6,15,12,4,11,1,3,0,5
NYC,1000,2,10000,1.625,1.569,0.001550285,0.009879594,14,7,6,9,10,8,13,12,2,15,0,4,1,11,5,3
NYC,10,2,50000,1.8,1.5174,4.29E-04,0.008436072,13,15,14,11,10,7,9,2,8,12,4,1,3,6,0,5
NYC,100,2,50000,1.8,1.5174,4.29E-04,0.008436072,14,13,15,7,10,9,8,2,12,6,4,11,1,0,3,5
NYC,1000,2,50000,1.8,1.5174,4.29E-04,0.008436072,14,7,10,9,8,6,13,12,2,0,15,4,1,11,3,5
NYC,10,2,100000,1.8181819,1.464,2.34E-04,0.002201062,13,15,14,7,9,10,4,2,11,8,3,1,12,0,6,5
NYC,100,2,100000,1.8181819,1.464,2.34E-04,0.002201062,14,13,15,7,10,9,8,2,12,6,4,11,1,0,3,5
NYC,1000,2,100000,1.8181819,1.464,2.34E-04,0.002201062,14,7,10,9,8,6,13,12,2,0,15,4,1,11,3,5
NYC,10,2,500000,1.7142857,1.083,1.05E-04,0.001404855,13,15,14,2,11,10,8,7,1,9,4,3,12,0,6,5
NYC,100,2,500000,1.7142857,1.083,1.05E-04,0.001404855,13,14,15,7,10,9,8,2,12,4,11,6,1,0,3,5
NYC,1000,2,500000,1.7142857,1.083,1.05E-04,0.001404855,14,13,7,10,9,8,15,6,12,2,0,4,11,1,3,5
NYC,10,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,13,15,14,2,10,8,1,7,11,9,4,12,3,0,6,5
NYC,100,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,13,14,15,7,10,9,8,12,2,4,11,6,1,3,0,5
NYC,1000,2,1000000,1.6666666,0.862,7.99E-05,5.66E-04,14,13,15,7,10,9,8,12,6,2,0,1,4,11,3,5
Shuttle,10,2,1000,2.6,1.35,0.001,0.001,14,10,13,9,8,7,11,12,4,15,3,0,2,6,5,1
Shuttle,100,2,1000,2.6,1.35,0.001,0.001,6,13,7,3,14,8,2,4,10,9,5,12,0,15,1,11
Shuttle,1000,2,1000,2.6,1.35,0.001,0.001,6,13,5,15,14,10,7,0,8,9,3,2,12,4,1,11
Shuttle,10,2,5000,2.2857144,0.516,0.0052,0.0325,6,3,13,0,5,14,2,8,7,15,9,11,4,10,1,12
Shuttle,100,2,5000,2.2857144,0.516,0.0052,0.0325,6,14,3,13,7,12,10,8,5,9,15,2,0,4,11,1
Shuttle,1000,2,5000,2.2857144,0.516,0.0052,0.0325,6,13,14,15,10,7,8,9,5,4,12,11,0,3,2,1
Shuttle,10,2,10000,2.375,0.312,0.0065,0.043,13,14,0,2,11,10,15,9,7,8,1,4,3,6,12,5
Shuttle,100,2,10000,2.375,0.312,0.0065,0.043,14,13,15,7,8,10,12,6,9,2,0,4,11,1,3,5
Shuttle,1000,2,10000,2.375,0.312,0.0065,0.043,6,13,15,14,10,7,8,9,0,5,2,12,4,1,11,3
Shuttle,10,10,1000,2.8,1.05,0.0021,0.0015,3,6,2,0,7,4,1,8,9,10,14,5,13,11,12,15
Shuttle,100,10,1000,2.8,1.05,0.0021,0.0015,14,6,7,13,8,3,9,2,15,0,4,1,10,12,11,5
Shuttle,1000,10,1000,2.8,1.05,0.0021,0.0015,6,13,10,7,8,14,15,9,5,0,2,4,1,3,12,11
Shuttle,10,10,5000,2.7142856,0.54,0.0035,0.0119,0,1,14,7,9,11,10,8,4,2,3,6,12,5,13,15
Shuttle,100,10,5000,2.7142856,0.54,0.0035,0.0119,14,10,13,7,15,9,8,11,6,12,2,0,3,1,4,5
Shuttle,1000,10,5000,2.7142856,0.54,0.0035,0.0119,14,7,6,9,8,10,13,2,15,0,4,1,12,11,5,3
Shuttle,10,10,10000,2.875,0.33,0.0054,0.0209,2,14,11,0,8,3,7,4,10,6,9,1,13,12,15,5
Shuttle,100,10,10000,2.875,0.33,0.0054,0.0209,14,10,13,7,12,15,8,9,11,6,2,0,4,1,3,5
Shuttle,1000,10,10000,2.875,0.33,0.0054,0.0209,14,7,8,9,10,6,13,2,0,15,12,4,1,11,5,3
Shuttle,10,10,14500,3.125,0.0724,0.01233803,0.02749883,3,5,6,13,0,10,14,2,7,8,11,4,15,9,1,12
Shuttle,100,10,14500,3.125,0.0724,0.01233803,0.02749883,13,12,7,8,10,15,9,6,4,2,11,14,3,5,0,1
Shuttle,1000,10,14500,3.125,0.0724,0.01233803,0.02749883,14,7,10,9,8,6,13,2,12,0,15,4,1,11,5,3
Skin,10,2,100,4,1.5,0.09946453,0.13298231,3,14,7,5,2,13,8,4,9,11,6,12,1,15,0,10
Skin,10,2,1000,1.8,1.71,0.01575981,0.02187784,10,9,11,13,8,7,14,12,2,3,4,1,0,6,5,15
Skin,10,2,10000,1.875,1.44,0.01160479,0.01237741,13,7,3,4,14,6,5,15,2,10,0,9,11,12,8,1
Skin,10,2,100000,1.7272727,1.0866,0.00572004,0.01035586,13,15,14,2,1,9,11,10,7,8,4,12,6,3,0,5
Skin,10,2,100,4,1.5,0.09991117,0.13274492,3,14,13,7,9,8,2,5,4,6,12,1,10,0,11,15
Skin,100,2,100,4,1.5,0.09991117,0.13274492,6,14,15,10,9,8,3,7,13,5,2,12,4,0,1,11
Skin,1000,2,100,4,1.5,0.09991117,0.13274492,6,14,15,7,8,10,9,3,13,5,4,2,1,0,12,11
Skin,10,2,1000,1.8,1.68,0.01603525,0.02210973,14,13,2,15,3,11,0,1,7,4,8,12,10,9,6,5
Skin,100,2,1000,1.8,1.68,0.01603525,0.02210973,6,3,2,0,7,4,1,8,10,9,13,5,14,11,12,15
Skin,1000,2,1000,1.8,1.68,0.01603525,0.02210973,6,15,14,7,10,8,9,5,13,4,0,12,3,11,2,1
Skin,10,2,10000,2,1.431,0.01195188,0.01267213,13,3,0,6,10,7,9,11,8,2,12,4,1,5,14,15
Skin,100,2,10000,2,1.431,0.01195188,0.01267213,14,7,10,3,9,13,6,8,2,15,12,4,11,0,5,1
Skin,1000,2,10000,2,1.431,0.01195188,0.01267213,6,14,7,10,8,9,13,2,0,15,4,12,11,5,3,1
Skin,10,2,100000,1.7272727,1.0521,0.00601751,0.01096673,13,14,15,3,7,10,11,9,4,8,0,2,12,6,1,5
Skin,100,2,100000,1.7272727,1.0521,0.00601751,0.01096673,14,13,7,10,15,8,6,9,3,12,2,0,11,4,1,5
Skin,1000,2,100000,1.7272727,1.0521,0.00601751,0.01096673,14,7,10,13,9,8,6,12,0,15,2,4,1,11,3,5
Spam,10,57,4601,2.857143,0.815,0.00884188,0.04518884,14,13,3,10,9,15,8,11,7,2,12,4,6,0,1,5
Spam,100,57,4601,2.857143,0.815,0.00884188,0.04518884,14,9,8,7,4,3,15,10,12,11,6,2,13,1,0,5
Spam,1000,57,4601,2.857143,0.815,0.00884188,0.04518884,14,9,7,8,2,10,4,6,3,13,1,15,11,12,0,5
Spam,10,2,100,6,2.1,0.20042882,0.17740542,6,3,2,7,8,5,1,0,4,14,13,11,10,15,9,12
Spam,100,2,100,6,2.1,0.20042882,0.17740542,6,3,5,13,0,14,8,10,9,15,7,12,11,4,2,1
Spam,1000,2,100,6,2.1,0.20042882,0.17740542,6,14,15,10,7,9,8,13,0,5,3,4,2,1,12,11
Spam,10,2,1000,2.4,0.96,0.0611001,0.07522151,13,9,12,8,10,4,7,14,11,2,1,5,0,3,15,6
Spam,100,2,1000,2.4,0.96,0.0611001,0.07522151,13,14,8,10,9,6,15,3,7,2,0,12,5,4,11,1
Spam,1000,2,1000,2.4,0.96,0.0611001,0.07522151,6,14,15,13,10,7,8,9,0,5,2,4,1,12,3,11
Spam,10,10,100,6,2.4,0.47491224,0.16609938,3,6,0,14,2,11,7,1,8,10,4,5,12,13,9,15
Spam,100,10,100,6,2.4,0.47491224,0.16609938,6,7,10,8,15,14,13,3,9,5,0,2,4,1,12,11
Spam,1000,10,100,6,2.4,0.47491224,0.16609938,6,10,7,8,9,14,15,5,4,0,13,3,2,1,12,11
Spam,10,10,1000,4.2,1.59,0.03336496,0.02383751,6,3,0,14,2,13,7,9,10,11,4,1,8,12,5,15
Spam,100,10,1000,4.2,1.59,0.03336496,0.02383751,14,6,7,8,13,9,15,10,2,0,3,4,12,11,1,5
Spam,1000,10,1000,4.2,1.59,0.03336496,0.02383751,6,14,7,10,8,9,15,13,4,0,2,5,1,3,12,11
Spam,10,20,100,4,1.8,0.6341118,0.21007736,3,13,11,12,0,2,1,10,7,4,9,8,5,14,6,15
Spam,100,20,100,4,1.8,0.6341118,0.21007736,6,3,13,5,0,10,7,8,9,2,4,12,1,15,14,11
Spam,1000,20,100,4,1.8,0.6341118,0.21007736,6,15,14,3,10,7,8,5,9,0,13,2,4,1,12,11
Spam,10,20,1000,3.8,1.32,0.07069502,0.05184791,3,0,6,13,14,5,15,2,4,1,12,7,8,9,11,10
Spam,100,20,1000,3.8,1.32,0.07069502,0.05184791,14,6,7,13,8,9,15,3,2,0,10,12,4,5,11,1
Spam,1000,20,1000,3.8,1.32,0.07069502,0.05184791,6,7,8,14,10,9,4,13,2,15,5,0,3,1,12,11
Spam,10,30,100,5,1.8,0.34252499,0.18563539,6,3,10,7,8,9,14,11,5,4,12,13,0,15,2,1
Spam,100,30,100,5,1.8,0.34252499,0.18563539,6,3,10,7,9,14,15,8,5,2,4,13,0,1,12,11
Spam,1000,30,100,5,1.8,0.34252499,0.18563539,6,15,10,7,14,8,3,9,13,5,4,2,0,1,12,11
Spam,10,30,1000,3.8,1.14,0.08405286,0.06760848,6,3,0,14,2,4,1,11,7,9,10,13,8,12,15,5
Spam,100,30,1000,3.8,1.14,0.08405286,0.06760848,14,6,7,8,9,13,3,15,2,11,4,1,0,12,10,5
Spam,1000,30,1000,3.8,1.14,0.08405286,0.06760848,6,7,10,8,9,14,4,2,13,15,0,5,3,1,12,11
Spam,10,40,100,5,1.8,0.34424889,0.18655288,3,6,14,2,7,0,10,1,8,9,4,11,13,12,15,5
Spam,100,40,100,5,1.8,0.34424889,0.18655288,6,3,10,15,14,13,9,7,2,8,5,4,0,1,12,11
Spam,1000,40,100,5,1.8,0.34424889,0.18655288,6,3,10,7,8,9,14,15,13,0,5,1,4,2,11,12
Spam,10,40,1000,2.6,1.02,0.09801677,0.06300207,6,3,0,14,11,7,10,9,2,1,4,8,12,13,15,5
Spam,100,40,1000,2.6,1.02,0.09801677,0.06300207,14,6,9,7,8,3,2,13,4,11,15,1,0,12,10,5
Spam,1000,40,1000,2.6,1.02,0.09801677,0.06300207,6,10,9,14,7,8,13,15,4,2,3,1,0,5,12,11
Spam,10,50,100,5,1.8,0.34301288,0.18553245,6,3,0,2,14,7,10,1,8,9,4,13,11,12,15,5
Spam,100,50,100,5,1.8,0.34301288,0.18553245,6,3,7,15,9,10,8,2,13,4,5,0,14,1,12,11
Spam,1000,50,100,5,1.8,0.34301288,0.18553245,6,3,15,8,10,14,7,9,0,1,5,4,2,13,12,11
Spam,10,50,1000,2.8,1.02,0.09743715,0.06146672,6,3,2,14,11,0,4,7,9,1,10,8,12,13,15,5
Spam,100,50,1000,2.8,1.02,0.09743715,0.06146672,14,3,7,8,13,9,6,2,15,4,1,11,12,0,10,5
