dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
Bigcross,1000,30,100000,1.7272727,1.5438,0.04171234,0.0111416,14,7,10,9,8,12,2,4,1,6,11,0,13,15,3,5
Bigcross,10,30,1000000,1.6,1.5288,0.02197425,0.00751893,14,13,2,3,15,10,4,7,11,1,8,9,12,0,6,5
Bigcross,100,30,1000000,1.6,1.5288,0.02197425,0.00751893,10,7,14,8,9,3,2,12,4,6,11,1,13,0,15,5
Bigcross,1000,30,1000000,1.6,1.5288,0.02197425,0.00751893,7,10,14,9,8,12,2,6,4,1,11,13,0,15,3,5
Bigcross,10,40,100,3,1.5,0.51754032,0.11860468,14,10,11,12,9,13,7,2,8,6,3,4,15,1,0,5
Bigcross,100,40,100,3,1.5,0.51754032,0.11860468,6,3,7,14,15,13,9,10,8,5,2,4,1,0,12,11
Bigcross,1000,40,100,3,1.5,0.51754032,0.11860468,6,3,14,7,15,10,9,8,13,2,5,0,4,1,12,11
Bigcross,10,40,1000,2.4,1.53,0.10283036,0.06262387,2,14,4,1,3,7,9,10,8,11,6,12,0,13,15,5
Bigcross,100,40,1000,2.4,1.53,0.10283036,0.06262387,7,14,9,3,8,2,6,4,1,13,0,11,15,10,12,5
Bigcross,1000,40,1000,2.4,1.53,0.10283036,0.06262387,6,10,13,9,7,8,14,15,2,5,4,1,0,3,12,11
Bigcross,10,40,10000,1.625,1.542,0.07050363,0.02950749,14,1,8,7,2,3,13,11,9,4,10,0,15,6,12,5
Bigcross,100,40,10000,1.625,1.542,0.07050363,0.02950749,7,8,14,9,3,2,10,12,4,1,6,11,13,0,15,5
Bigcross,1000,40,10000,1.625,1.542,0.07050363,0.02950749,14,9,7,8,10,2,1,4,6,12,13,11,0,3,15,5
Bigcross,10,40,100000,1.7272727,1.5558,0.04158127,0.01124628,14,10,2,11,4,1,3,13,7,12,9,8,0,15,6,5
Bigcross,100,40,100000,1.7272727,1.5558,0.04158127,0.01124628,7,14,10,9,8,3,2,12,11,6,4,1,13,15,0,5
Bigcross,1000,40,100000,1.7272727,1.5558,0.04158127,0.01124628,7,10,9,14,8,12,2,4,1,11,6,0,13,3,15,5
Bigcross,10,40,1000000,1.6,1.545,0.02196363,0.00750795,14,2,13,7,10,15,4,8,9,11,3,1,12,0,6,5
Bigcross,100,40,1000000,1.6,1.545,0.02196363,0.00750795,10,14,7,9,8,3,12,2,4,11,6,1,13,0,15,5
Bigcross,1000,40,1000000,1.6,1.545,0.02196363,0.00750795,14,10,7,9,8,12,2,11,4,1,6,13,0,15,3,5
Bigcross,10,50,100,2,1.2,0.61948164,0.08140377,14,2,3,10,6,1,8,9,7,4,11,12,13,0,15,5
Bigcross,100,50,100,2,1.2,0.61948164,0.08140377,6,3,10,8,7,15,14,9,5,13,4,2,1,0,12,11
Bigcross,1000,50,100,2,1.2,0.61948164,0.08140377,6,3,14,15,10,9,7,8,13,0,2,5,4,1,12,11
Bigcross,10,50,1000,2,1.59,0.09669828,0.06311997,14,2,11,3,4,7,10,9,1,12,8,6,0,13,15,5
Bigcross,100,50,1000,2,1.59,0.09669828,0.06311997,14,7,8,9,3,2,4,6,1,11,13,15,12,0,10,5
Bigcross,1000,50,1000,2,1.59,0.09669828,0.06311997,6,7,10,8,13,15,14,9,4,2,5,3,1,0,11,12
Bigcross,10,50,10000,1.625,1.59,0.06965248,0.02895734,14,2,4,7,10,9,1,11,3,8,13,15,12,6,0,5
Bigcross,100,50,10000,1.625,1.59,0.06965248,0.02895734,14,7,9,8,10,3,2,4,12,11,1,6,13,0,15,5
Bigcross,1000,50,10000,1.625,1.59,0.06965248,0.02895734,14,9,7,8,10,2,4,1,6,12,13,3,11,0,15,5
Bigcross,10,50,100000,1.7272727,1.5414,0.0415141,0.01093769,14,9,10,7,11,4,8,2,1,12,13,3,15,6,0,5
Bigcross,100,50,100000,1.7272727,1.5414,0.0415141,0.01093769,7,10,14,9,8,3,12,2,4,11,1,6,13,0,15,5
Bigcross,1000,50,100000,1.7272727,1.5414,0.0415141,0.01093769,10,7,9,14,8,2,12,4,1,11,6,3,13,0,15,5
