dataset,k,dimension,trajectoryNumber,heightnew,nodecounts,leafnodes,depthmean,depthsd,radiusmean,radiussd,pointsmean,pointssd,disfathermean,disfathersd,height,leafnode,radiusMean,radiusSD,fastest,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,slowest
Bigcross,1000,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,7,14,10,9,8,12,2,6,13,1,0,4,11,15,3,5
Bigcross,10,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,13,14,2,3,7,1,10,9,4,0,15,11,8,12,6,5
Bigcross,100,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,14,7,10,9,8,3,12,2,6,13,11,4,15,0,1,5
Bigcross,1000,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,10,14,7,9,8,12,2,6,0,13,1,4,11,15,3,5
Bigcross,10,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,2,7,3,1,4,14,8,0,6,10,9,11,12,13,5,15
Bigcross,100,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,14,7,9,8,3,2,6,1,4,13,0,15,11,12,10,5
Bigcross,1000,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,6,10,13,15,14,7,9,8,2,5,0,4,1,3,12,11
Bigcross,10,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,2,3,14,1,4,11,10,9,7,8,0,13,12,6,15,5
Bigcross,100,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,7,14,9,8,10,3,2,12,6,11,4,1,13,0,15,5
Bigcross,1000,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,9,7,14,10,8,2,4,6,1,12,0,13,11,3,15,5
Bigcross,10,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,14,3,2,9,10,11,13,1,4,7,12,15,8,6,0,5
Bigcross,100,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,7,10,14,9,8,3,12,2,6,11,4,1,13,0,15,5
Bigcross,1000,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,14,7,10,9,8,12,2,4,1,6,11,0,13,15,3,5
Bigcross,10,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,14,13,2,3,15,10,4,7,11,1,8,9,12,0,6,5
Bigcross,100,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,10,7,14,8,9,3,2,12,4,6,11,1,13,0,15,5
Bigcross,1000,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,7,10,14,9,8,12,2,6,4,1,11,13,0,15,3,5
Bigcross,10,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,2,14,4,1,3,7,9,10,8,11,6,12,0,13,15,5
Bigcross,100,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,7,14,9,3,8,2,6,4,1,13,0,11,15,10,12,5
Bigcross,1000,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,6,10,13,9,7,8,14,15,2,5,4,1,0,3,12,11
